idxa	idxc	freqa	freqc	literal_order	varphi	mean_est	se_est	slope_est	se_slope	size_id	size_rows
(6.0, 10.0)	(0.0, 5.0)			('idxa', 'idxc', 'idxa')	60.7	10.5294	0.0086			0.3	0.3
(6.5, 10.0)	(0.0, 5.0)			('idxa', 'idxc', 'idxa')	60.3	10.6052	0.0099			0.22	0.22
(6.5, 10.0)	(0.0, 5.5)			('idxc', 'idxa', 'idxa')	59.9	10.5767	0.0095			0.25	0.25
(6.0, 10.0)	(0.0, 4.5)			('idxc', 'idxa', 'idxc')	59.9	10.5949	0.0098			0.23	0.23
(5.5, 10.0)	(0.0, 5.0)			('idxa', 'idxc')	59.5	10.5016	0.0083			0.33	0.33
(5.5, 10.0)	(0.0, 4.5)			('idxa', 'idxc', 'idxc')	59.4	10.5662	0.0094			0.25	0.25
(6.0, 10.0)	(0.0, 5.5)			('idxc', 'idxa')	59.2	10.4994	0.0083			0.33	0.33
(7.0, 10.0)	(0.0, 5.0)			('idxa', 'idxc', 'idxa')	59.1	10.6403	0.0107			0.19	0.19
(7.0, 10.0)	(0.0, 5.5)			('idxa', 'idxc')	58.8	10.6078	0.0102			0.21	0.21
(7.0, 10.0)	(0.0, 4.5)			('idxa', 'idxc')	58.4	10.7084	0.012			0.14	0.14
(6.0, 10.0)	(0.0, 4.0)			('idxc', 'idxa', 'idxc')	58.2	10.6252	0.0106			0.19	0.19
(5.5, 10.0)	(0.0, 4.0)			('idxc', 'idxa')	57.9	10.5928	0.0101			0.21	0.21
(6.5, 10.0)	(0.0, 4.0)			('idxc', 'idxa')	57.8	10.701	0.012			0.14	0.14
(5.5, 10.0)	(0.0, 5.0)	(2.0, 9.0)		('idxa', 'idxc', 'freqa')	57.7	10.5042	0.0086			0.31	0.31
(5.5, 10.0)	(0.0, 5.0)		(2.0, 9.0)	('idxa', 'idxc', 'freqc')	57.4	10.5187	0.0089			0.3	0.3
(5.0, 10.0)	(0.0, 5.0)			('idxc', 'idxa', 'idxc')	57.4	10.4494	0.0077			0.39	0.39
(6.0, 10.0)	(0.0, 6.0)			('idxa', 'idxc', 'idxa')	57.4	10.4494	0.0077			0.39	0.39
(6.0, 10.0)	(0.0, 5.5)	(2.0, 9.0)		('idxc', 'idxa', 'freqa')	57.2	10.5052	0.0087			0.31	0.31
(6.0, 10.0)	(0.0, 5.5)		(2.0, 9.0)	('idxc', 'idxa', 'freqc')	57.0	10.5092	0.0088			0.3	0.3
(7.0, 10.0)	(0.0, 5.5)		(2.0, 9.0)	('idxa', 'idxc', 'freqc')	56.9	10.6169	0.0107			0.19	0.19
