sumE	difE	literal_order	varphi	mean_est	se_est	slope_est	se_slope	size_id	size_rows
(-25.0, -6.0)		('sumE', 'sumE')	67.4	10.635	0.0093			0.25	0.25
(-25.0, -6.0)	(-5.0, 9.0)	('sumE', 'sumE', 'difE')	67.2	10.6531	0.0096			0.22	0.22
(-25.0, -5.0)		('sumE',)	67.0	10.5909	0.0087			0.29	0.29
(-25.0, -5.0)	(-5.0, 9.0)	('sumE', 'difE')	67.0	10.6108	0.009			0.26	0.26
(-25.0, -5.0)		('sumE', 'sumE', 'sumE')	67.0	10.5909	0.0087			0.29	0.29
(-25.0, -7.0)		('sumE', 'sumE')	66.8	10.6825	0.0101			0.21	0.21
(-25.0, -7.0)	(-5.0, 9.0)	('sumE', 'sumE', 'difE')	66.5	10.6996	0.0104			0.19	0.19
(-25.0, -7.0)	(-9.0, 4.0)	('difE', 'sumE')	65.8	10.6857	0.0103			0.2	0.2
(-25.0, -6.0)	(-9.0, 4.0)	('sumE', 'sumE', 'difE')	65.8	10.6397	0.0096			0.23	0.23
(-25.0, -5.0)	(-5.0, 4.0)	('sumE', 'difE', 'difE')	65.8	10.6202	0.0093			0.24	0.24
(-25.0, -4.0)		('sumE', 'sumE', 'sumE')	65.8	10.5471	0.0082			0.33	0.33
(-25.0, -8.0)	(-5.0, 9.0)	('sumE', 'difE', 'sumE')	65.7	10.7498	0.0113			0.16	0.16
(-25.0, -7.0)	(-5.0, 4.0)	('difE', 'sumE', 'difE')	65.7	10.7042	0.0106			0.18	0.18
(-25.0, -5.0)	(-9.0, 4.0)	('sumE', 'difE')	65.5	10.5976	0.009			0.27	0.27
(-25.0, -8.0)		('sumE', 'sumE')	65.3	10.733	0.0111			0.17	0.17
(-25.0, -8.0)	(-9.0, 4.0)	('difE', 'sumE', 'sumE')	65.0	10.7363	0.0112			0.16	0.16
(-25.0, -3.0)	(-5.0, 9.0)	('sumE', 'sumE', 'difE')	64.3	10.5224	0.008			0.34	0.34
(-25.0, -3.0)		('sumE', 'sumE')	64.1	10.5011	0.0077			0.38	0.38
(-25.0, -9.0)		('sumE', 'sumE')	63.7	10.779	0.0121			0.14	0.14
(-25.0, -9.0)	(-5.0, 9.0)	('sumE', 'sumE', 'difE')	63.7	10.7972	0.0124			0.13	0.13
